page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
43,78,342,103,349,arancelaria,52,0,2
44,54,352,93,362,8708920000,11,0,0
44,44,342,51,349,59.,52,0,0
44,53,342,77,349,Subpartida,52,0,1
44,78,342,103,349,arancelaria,52,0,2
45,54,352,93,362,8708999900,11,0,0
45,329,319,336,326,57.,52,0,0
45,337,319,357,326,Empresa,52,0,1
45,359,319,391,326,transportadora,52,0,2
46,54,352,93,362,8708999900,11,0,0
46,44,342,51,349,59.,52,0,0
46,53,342,77,349,Subpartida,52,0,1
46,78,342,103,349,arancelaria,52,0,2
47,54,352,93,362,8708920000,11,0,0
47,44,342,51,349,59.,52,0,0
47,53,342,77,349,Subpartida,52,0,1
47,78,342,103,349,arancelaria,52,0,2
48,54,352,93,362,8708999900,11,0,0
48,44,342,51,349,59.,52,0,0
48,53,342,77,349,Subpartida,52,0,1
48,78,342,103,349,arancelaria,52,0,2
49,54,352,93,362,8708999900,11,0,0
49,44,342,51,349,59.,52,0,0
49,53,342,77,349,Subpartida,52,0,1
49,78,342,103,349,arancelaria,52,0,2
50,54,352,93,362,8708999900,11,0,0
50,44,342,51,349,59.,52,0,0
50,53,342,77,349,Subpartida,52,0,1
50,78,342,103,349,arancelaria,52,0,2
51,54,352,93,362,8708991100,11,0,0
51,329,319,336,326,57.,52,0,0
51,337,319,357,326,Empresa,52,0,1
51,359,319,391,326,transportadora,52,0,2
53,54,352,93,362,9029901000,11,0,0
53,44,342,51,349,59.,52,0,0
53,53,342,77,349,Subpartida,52,0,1
53,78,342,103,349,arancelaria,52,0,2
54,54,352,93,362,8708999900,11,0,0
54,44,342,51,349,59.,52,0,0
54,53,342,77,349,Subpartida,52,0,1
54,78,342,103,349,arancelaria,52,0,2
55,54,352,93,362,8708999900,11,0,0
55,44,342,51,349,59.,52,0,0
55,53,342,77,349,Subpartida,52,0,1
55,78,342,103,349,arancelaria,52,0,2
56,54,352,93,362,8708999900,11,0,0
56,44,342,51,349,59.,52,0,0
56,53,342,77,349,Subpartida,52,0,1
56,78,342,103,349,arancelaria,52,0,2
57,54,352,93,362,8708999900,11,0,0
57,44,342,51,349,59.,52,0,0
57,53,342,77,349,Subpartida,52,0,1
57,78,342,103,349,arancelaria,52,0,2
58,54,352,93,362,8708999900,11,0,0
58,44,342,51,349,59.,52,0,0
58,53,342,77,349,Subpartida,52,0,1
58,78,342,103,349,arancelaria,52,0,2
59,54,352,93,362,8708999900,11,0,0
59,44,342,51,349,59.,52,0,0
59,53,342,77,349,Subpartida,52,0,1
59,78,342,103,349,arancelaria,52,0,2
60,54,352,93,362,8708999900,11,0,0
60,44,342,51,349,59.,52,0,0
60,53,342,77,349,Subpartida,52,0,1
60,78,342,103,349,arancelaria,52,0,2
61,54,352,93,362,8708999900,11,0,0
61,44,342,51,349,59.,52,0,0
61,53,342,77,349,Subpartida,52,0,1
61,78,342,103,349,arancelaria,52,0,2
62,54,352,93,362,8708999900,11,0,0
62,44,342,51,349,59.,52,0,0
62,53,342,77,349,Subpartida,52,0,1
62,78,342,103,349,arancelaria,52,0,2
